epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1486.1,1.05943,0.5876,0.92973,0.99146,0.99431,0.99296,0.70215,1.03451,0.55252,0.94493,0.000511769,0.000511769,0.000511769
72,1506.41,1.04059,0.62014,0.9383,0.99127,0.99585,0.9932,0.70893,1.03264,0.55015,0.9394,0.000495266,0.000495266,0.000495266
73,1527,1.07174,0.63492,0.90896,0.99134,0.996,0.99384,0.70979,1.0306,0.54954,0.93749,0.000478762,0.000478762,0.000478762
74,1547.49,1.06282,0.58691,0.91331,0.9911,0.99605,0.994,0.70965,1.02124,0.54386,0.93532,0.000462259,0.000462259,0.000462259
75,1568.17,1.06505,0.5893,0.9167,0.9911,0.99605,0.994,0.70965,1.02124,0.54386,0.93532,0.000445756,0.000445756,0.000445756
76,1588.59,1.05262,0.60082,0.92489,0.99278,0.99605,0.99383,0.70858,1.02145,0.54038,0.93426,0.000429253,0.000429253,0.000429253
77,1610.26,1.03722,0.57913,0.92131,0.99315,0.99548,0.99352,0.71088,1.01936,0.5374,0.93462,0.000412749,0.000412749,0.000412749
78,1629.63,1.04666,0.58246,0.91485,0.9917,0.99605,0.99325,0.71129,1.01251,0.53479,0.93518,0.000396246,0.000396246,0.000396246
79,1649.45,1.01775,0.5813,0.90568,0.9917,0.99605,0.99325,0.71129,1.01251,0.53479,0.93518,0.000379743,0.000379743,0.000379743
80,1670.32,1.0573,0.58047,0.91514,0.99379,0.99403,0.99303,0.71248,1.00634,0.53363,0.93328,0.000363239,0.000363239,0.000363239
81,1690.23,1.006,0.57316,0.93073,0.99336,0.99605,0.99306,0.71272,1.00984,0.53648,0.93432,0.000346736,0.000346736,0.000346736
82,1710.65,1.03474,0.58344,0.91868,0.99288,0.99605,0.99309,0.71294,1.00774,0.53837,0.93411,0.000330233,0.000330233,0.000330233
83,1730.8,1.0059,0.58929,0.91336,0.99288,0.99605,0.99309,0.71294,1.00774,0.53837,0.93411,0.000313729,0.000313729,0.000313729
84,1751.5,1.00218,0.57721,0.91132,0.99358,0.99535,0.99325,0.71789,0.98739,0.53632,0.92864,0.000297226,0.000297226,0.000297226
85,1772.93,0.99665,0.59897,0.89946,0.99164,0.99585,0.99319,0.71552,0.99631,0.53898,0.92628,0.000280723,0.000280723,0.000280723
86,1793.38,1.03002,0.57624,0.91597,0.99164,0.99571,0.99317,0.70875,1.01664,0.54258,0.92898,0.00026422,0.00026422,0.00026422
87,1811.77,1.02766,0.56892,0.9153,0.99164,0.99571,0.99317,0.70875,1.01664,0.54258,0.92898,0.000247716,0.000247716,0.000247716
88,1832.02,1.0158,0.58456,0.91244,0.99174,0.99583,0.99311,0.71171,1.01023,0.54043,0.92844,0.000231213,0.000231213,0.000231213
89,1850.49,0.98999,0.56816,0.92564,0.99357,0.99573,0.99305,0.71607,0.99934,0.53343,0.92897,0.00021471,0.00021471,0.00021471
90,1869.71,0.9997,0.55384,0.92015,0.9931,0.99605,0.99307,0.71855,0.99603,0.52724,0.93185,0.000198206,0.000198206,0.000198206
91,1887.07,0.99758,0.88509,0.90733,0.9931,0.99605,0.99307,0.71855,0.99603,0.52724,0.93185,0.000181703,0.000181703,0.000181703
92,1906.64,0.99314,0.84501,0.92517,0.99033,0.99605,0.99285,0.71631,1.00509,0.53452,0.93537,0.0001652,0.0001652,0.0001652
93,1927.76,0.99337,0.80039,0.91982,0.99227,0.99256,0.99278,0.71436,1.00763,0.55972,0.9372,0.000148696,0.000148696,0.000148696
94,1946.64,0.96732,0.72064,0.93112,0.99196,0.99165,0.99289,0.71381,1.00124,0.58395,0.93643,0.000132193,0.000132193,0.000132193
95,1970.13,0.98958,0.72045,0.92796,0.99196,0.99165,0.99289,0.71381,1.00124,0.58395,0.93643,0.00011569,0.00011569,0.00011569
96,1990.07,0.98303,0.73303,0.91314,0.98851,0.99082,0.99293,0.7122,0.99148,0.60706,0.93469,9.91865e-05,9.91865e-05,9.91865e-05
97,2007.67,0.97153,0.67965,0.92262,0.98347,0.98829,0.99297,0.71547,0.98654,0.62622,0.934,8.26832e-05,8.26832e-05,8.26832e-05
98,2024.77,0.95911,0.67145,0.90436,0.97581,0.98665,0.99291,0.71398,0.98513,0.64414,0.93319,6.61799e-05,6.61799e-05,6.61799e-05
99,2042.25,0.9893,0.68678,0.90789,0.97581,0.98665,0.99291,0.71398,0.98513,0.64414,0.93319,4.96766e-05,4.96766e-05,4.96766e-05
100,2059.76,0.97203,0.6652,0.91493,0.96995,0.98562,0.99276,0.71472,0.9857,0.65441,0.93283,3.31733e-05,3.31733e-05,3.31733e-05
